Row,L_bankssts_grayavg,L_caudalanteriorcingulate_grayavg,L_caudalmiddlefrontal_grayavg,L_cuneus_grayavg,L_entoRinal_grayavg,L_frontalpole_grayavg,L_fusiform_grayavg,L_inferiorparietal_grayavg,L_inferiortemporal_grayavg,L_insula_grayavg,L_isthmuscingulate_grayavg,L_lateraloccipital_grayavg,L_lateralorbitofrontal_grayavg,L_lingual_grayavg,L_medialorbitofrontal_grayavg,L_middletemporal_grayavg,L_paracentral_grayavg,L_parahippocampal_grayavg,L_parsopercularis_grayavg,L_parsorbitalis_grayavg,L_parstriangularis_grayavg,L_pericalcarine_grayavg,L_postcentral_grayavg,L_posteriorcingulate_grayavg,L_precentral_grayavg,L_precuneus_grayavg,L_rostralanteriorcingulate_grayavg,L_rostralmiddlefrontal_grayavg,L_superiorfrontal_grayavg,L_superiorparietal_grayavg,L_superiortemporal_grayavg,L_supramarginal_grayavg,L_temporalpole_grayavg,L_transversetemporal_grayavg,R_bankssts_grayavg,R_caudalanteriorcingulate_grayavg,R_caudalmiddlefrontal_grayavg,R_cuneus_grayavg,R_entoRinal_grayavg,R_frontalpole_grayavg,R_fusiform_grayavg,R_inferiorparietal_grayavg,R_inferiortemporal_grayavg,R_insula_grayavg,R_isthmuscingulate_grayavg,R_lateraloccipital_grayavg,R_lateralorbitofrontal_grayavg,R_lingual_grayavg,R_medialorbitofrontal_grayavg,R_middletemporal_grayavg,R_paracentral_grayavg,R_parahippocampal_grayavg,R_parsopercularis_grayavg,R_parsorbitalis_grayavg,R_parstriangularis_grayavg,R_pericalcarine_grayavg,R_postcentral_grayavg,R_posteriorcingulate_grayavg,R_precentral_grayavg,R_precuneus_grayavg,R_rostralanteriorcingulate_grayavg,R_rostralmiddlefrontal_grayavg,R_superiorfrontal_grayavg,R_superiorparietal_grayavg,R_superiortemporal_grayavg,R_supramarginal_grayavg,R_temporalpole_grayavg,R_transversetemporal_grayavg
L_bankssts_grayavg,NaN,-0.170461079142876,-0.198654716990152,-0.00441171465140142,-0.192934132262987,0.030152856397718,-0.1405933277331,-0.115915705767118,-0.127199479438463,-0.0617066214454178,-0.0843044659195261,-0.132510669127269,-0.0617892690496477,0.0507989153048614,-0.0716207542934732,-0.137808043714074,-0.194569770600196,-0.256426294340449,-0.0772425094904426,-0.159762716351848,-0.207831905831976,0.0828152631223518,-0.0797145034729752,-0.0185480334442361,-0.239700860109214,-0.156989462988911,-0.166317102214255,-0.143904643260372,-0.201366070814422,-0.147917781662271,-0.316337471869401,-0.25243484731939,-0.157298332919703,-0.0872711648588825,0.00263121995779339,-0.183701115982822,-0.163459889243331,0.00164077909449901,-0.272949520444823,-0.0828633916116023,-0.233883131132254,-0.157178395970204,-0.192127614578253,0.0153804417806865,-0.0842695561624214,-0.154634147399816,-0.0425689391616113,-0.0366153352011294,-0.0994462305664161,-0.204185034122022,-0.12092456664045,-0.308746606000576,-0.0912118286443529,-0.200332963097409,-0.229258878384487,0.0429660884249945,-0.13139858751567,-0.178973746696475,-0.260525125912846,-0.102833614400478,-0.0183831587196355,-0.174955483099753,-0.203337409350044,-0.068444401450664,-0.164620333494682,-0.230898342238636,-0.282548280653819,-0.0267675464065736
L_caudalanteriorcingulate_grayavg,-0.170461079142876,NaN,-0.141929505265562,0.0671767570849023,-0.0737811047445586,0.160014597867813,-0.179781525159581,-0.105931483532374,-0.138834997444818,-0.207916301504813,0.0203852355360718,-0.0249842810489949,-0.0504574962728764,0.000594274519408637,-0.0201574553470164,-0.0521927500063595,-0.160828487647352,-0.227788461037195,-0.0516304475193523,-0.105791742554523,-0.160890873101723,0.0889958859014376,-0.0383725898525394,0.0875428519395676,-0.214810237075254,-0.247483307287312,-0.0863148171699494,-0.137942929140357,-0.116221722497963,-0.0771773493959556,-0.235659783420829,-0.173332586032097,-0.0951537122253584,-0.0910843080970102,-0.177362603563956,0.110951981306691,-0.114190462994381,0.00620307427107993,-0.235230370888951,-0.0556395626448415,-0.203402595663976,-0.0964702337696795,-0.106993434752882,-0.168904245859682,-0.0601460517698027,-0.0644000990459799,-0.105537355971931,0.0130794327069933,-0.128137688911271,-0.0532785951527245,0.00238274235216857,-0.124680791820044,-0.122485049610884,-0.0419292714949464,-0.212395862807246,0.0833473944453188,-0.0352293729830932,-0.100163749935885,-0.175100685011136,-0.0676572241655895,0.0185657358505609,-0.149885798803676,-0.129816209650586,0.030697959601119,-0.218792570813347,-0.0596859149009553,-0.258620162463231,-0.0959710342294698
L_caudalmiddlefrontal_grayavg,-0.198654716990152,-0.141929505265562,NaN,-0.0630647293659745,-0.133462066004114,0.105838890064157,-0.288612891354755,-0.0368985091891556,-0.193432456955233,-0.262978022012728,-0.00197372059057846,-0.17189249208058,0.0355186331936033,-0.0330104810057924,-0.0704301637143676,-0.168071923411763,-0.0633610403671395,-0.17013576532035,0.0270000999021285,0.0574250386133751,-0.125570425578474,0.160996494114055,-0.0168554363042825,-0.00257454727797799,0.0346099537483647,0.00481775325965748,-0.151165964126502,-0.090087818533871,0.154560574092642,-0.0593240527204478,-0.148117619775121,0.0615692709713914,-0.109300563032215,-0.0201147549482206,0.0435005503260017,-0.247906358384635,-0.0479989693406851,-0.051155527853253,-0.308815612896618,-0.0295114502658733,-0.320632509646525,-0.00427634359963212,-0.290438209388761,-0.206083319365332,-0.0570519643034435,-0.164353495390398,-0.0553605783707465,-0.0790665476315642,-0.095515417213202,-0.219163359420731,-0.0797559548299195,-0.117923779635795,0.221986842831318,0.0713563451802339,-0.0192899584342506,0.078017588707113,0.0325405839962327,-0.157155950580305,0.0540875676250112,-0.00842486936839327,-0.130139997462505,-0.0118291505795519,0.0373604821689954,-0.0326783253339687,-0.0758286028412524,0.0378852915870702,-0.287520075728697,-0.0906858649026474
L_cuneus_grayavg,-0.00441171465140142,0.0671767570849023,-0.0630647293659745,NaN,-0.0271255429253577,0.0237743330028831,-0.149083537130974,0.117918679150272,-0.123541624168361,-0.137882793051616,-0.0337623258543698,-0.16757030714837,0.025758774248045,0.0624810674852189,-0.0710556329292954,-0.139920631314372,-0.161343982521514,-0.10058065068245,0.242024648535,0.16593296761109,0.0672899548271829,-0.0206482342747672,-0.155311921794718,-0.0370354480860762,-0.00700165886626135,0.232435590610983,-0.0188825593432468,0.00128176151013747,0.00143413916439112,0.00949695458223604,-0.0250667001244981,0.125817729602829,-0.0147646975015962,0.0501416690543504,-6.35859891542014e-05,-0.0283920836180488,-0.00351000333584119,-0.0760615309891405,-0.0522776438266542,-0.111333853742212,-0.180212796273319,0.0188140612638297,-0.122613874064172,-0.0763891732262393,-0.106657835594149,-0.135621019479239,0.0110516405396905,-0.0451431981296399,-0.0440225024949109,-0.0267081266065101,-0.136256986532844,-0.09755472336278,0.195452061127699,0.155743904790052,0.11189651114744,-0.0651587470911862,-0.0891922687560354,0.000621692886705306,-0.0497096731963177,0.115338388748701,-0.0664763599267481,0.0630662094709168,-0.012387653228614,-0.0127458424647812,-0.00207085162405461,0.14324180101278,-0.0999245465595319,-0.084950470012522
L_entoRinal_grayavg,-0.192934132262987,-0.0737811047445586,-0.133462066004114,-0.0271255429253577,NaN,-0.0219162397696026,0.0747347926597107,-0.102495714576968,-0.0109331212628386,-0.144431571643653,-0.022721206497814,-0.0784042741097627,0.023888860733179,-0.0619879680829019,-0.0730341955796936,-0.0547779145580755,-0.131101748308316,-0.0277198217775672,-0.21099339686893,-0.158327087478038,-0.146351061695247,-0.00980271287803175,-0.140710865457195,-0.0587614589725646,-0.193916840526409,-0.193342491337796,-0.0393223186614564,-0.161152805653471,-0.219901079667573,-0.0866870530581354,-0.0557263191706638,-0.148259565626444,-0.0325362315244211,-0.0907379045731934,-0.0978078729294297,-0.175137399670251,-0.157499269103321,-0.0178590499203089,-0.0310942507965898,-0.0814365112589118,0.0738724722029277,-0.0911687652737763,0.144765278432948,-0.201273644470631,-0.0814575465820661,-0.0949129487798572,-0.0380682511207347,-0.0380254021426611,-0.0307527299735231,-0.043105095743707,-0.0504487228131972,0.0198729545454807,-0.127436759742747,-0.153705176309313,-0.0906911240333589,-0.0298987618067898,-0.132994375436126,-0.11042864719956,-0.140322083820653,-0.102372252033218,-0.121723807238277,-0.152537961812862,-0.145358192226149,-0.0938275235371138,-0.0971243171356979,-0.108260823651088,-0.0657185157876749,-0.0365299919586634
L_frontalpole_grayavg,0.030152856397718,0.160014597867813,0.105838890064157,0.0237743330028831,-0.0219162397696026,NaN,0.105322428994309,0.162325125867555,-0.0543977631208305,-0.0482844943211768,0.240984352397258,0.134238387009787,0.107605281757678,0.0664480949164675,0.222129793309093,0.0196246736969307,0.118407329364681,-0.0243125066655077,0.110784387634183,0.0846799922537786,0.0982827287341449,0.180812344656849,0.0593493221584284,0.140238846485305,0.103486079581614,0.18186775099378,0.068623608946929,0.124932433030154,0.170698323144321,0.16987237275414,0.135053753096231,0.168657505200963,-0.0801430507734016,0.034374418867535,0.0823637264627612,0.0524259194861017,0.0796911400364899,0.0375312767193263,-0.114090643623822,0.0911784734520444,0.0427010081538976,0.166505316597082,0.0387192916396011,-0.0791157381988166,0.195796270847826,0.107831384875243,0.0137013673449301,0.149494591823596,0.258078773324019,-0.0178131503593094,0.217670974199888,0.114438568733341,0.114934509092603,0.102398175154421,0.111806444835596,0.186357408780645,0.0801395811658933,0.159814208884102,0.052553167282099,0.243270595521088,-0.00990157672841585,0.163695616878674,0.16992699420755,0.146621858102823,0.11885539125442,0.114375656218932,-0.214423220914279,-0.0752401700802093
L_fusiform_grayavg,-0.1405933277331,-0.179781525159581,-0.288612891354755,-0.149083537130974,0.0747347926597107,0.105322428994309,NaN,-0.174731945746568,0.0442753723173373,-0.210896323289369,0.00235982989372554,-0.137532714606887,0.0523870369154765,-0.0562127446316017,-0.0773739880678828,-0.00513440706321609,-0.308695656371776,-0.125029904626369,-0.178979649088027,-0.0655634066125629,-0.328709872413756,0.0129340681863723,-0.193200826026341,-0.0796112677490623,-0.252314631692823,-0.385112772327205,-0.0783558028870568,-0.295672923434143,-0.275530466770886,-0.208668766114456,-0.195490223039385,-0.300280307902768,0.0284735083128658,-0.249509557070737,-0.148979306706064,-0.215043089877887,-0.207325049598724,-0.081627542152159,-0.166032339184044,-0.0550355251292519,0.0804790838434721,-0.23112597105634,-0.0518791160108559,-0.252556933796223,-0.0490797743119422,-0.199872746186303,0.155541100482561,-0.146554408087767,-0.0167475757439093,-0.0194721720942784,-0.114701371621862,-0.047485759893756,-0.0891242912559852,-0.0106596910483938,-0.267672589284061,-0.0629526771941142,-0.184029455455603,-0.110769162672847,-0.195859608660071,-0.26223141598601,-0.00668190177609782,-0.35992902595866,-0.148061019656996,-0.156617755812958,-0.0989772637125375,-0.250561310113691,-0.153734222781971,-0.280155637366222
L_inferiorparietal_grayavg,-0.115915705767118,-0.105931483532374,-0.0368985091891556,0.117918679150272,-0.102495714576968,0.162325125867555,-0.174731945746568,NaN,-0.128547702611354,-0.166286816727925,0.0908096349611165,0.038190123580589,0.20388982488608,0.166475977637593,0.132867384872436,-0.257744057449163,-0.00872585821353871,-0.157125528377461,0.152896402900555,-0.0487252570672412,-0.0598634690623526,0.246079110442644,0.102919578560921,0.0518020486304881,-0.0335811528051171,0.0102423760893351,-0.0814145466205875,0.0216147452963338,0.0741011907771779,-0.0853155520312957,-0.106588451432937,0.0646821195728351,-0.128855372642619,-0.042700820923656,-0.00142129760498662,-0.154033997658286,-0.00307925239886068,0.152705846387376,-0.304349028152504,-0.0865604443499864,-0.202516518948938,-0.0679718483280195,-0.224062242147301,-0.107451133703141,-0.0103167511210721,-0.0233539013128674,0.103182410289104,0.154898734977198,0.211578434830483,-0.11295917853244,-0.0819740643845085,-0.114579915459928,0.163914226586404,0.159388046619664,0.00191091676670109,0.187343455963215,0.156707196271718,-0.0873274970114016,0.00446919614403792,0.0593762367686521,-0.0702186668791072,0.0658069986531678,0.0676752360596594,-0.00926968045192514,-0.0334862603892253,0.0535168931048272,-0.309973360163737,-0.0920643994950415
L_inferiortemporal_grayavg,-0.127199479438463,-0.138834997444818,-0.193432456955233,-0.123541624168361,-0.0109331212628386,-0.0543977631208305,0.0442753723173373,-0.128547702611354,NaN,-0.22105327435601,-0.0529626315058738,-0.164849283284205,0.0498205764709586,-0.0428054687393255,-0.00990195012751725,-0.0217842146916464,-0.264218547598537,0.0408311310842958,-0.100824541285244,-0.150628170145016,-0.317633348017424,0.0313427541663043,-0.190474219309924,-0.145016473920235,-0.280508912045523,-0.232515329773646,-0.127670262307847,-0.252586503916272,-0.357142235747022,-0.20076889580098,-0.104794549331927,-0.216148361443276,-0.121257890010939,-0.0922335853079692,-0.0896307465025247,-0.336024332938046,-0.190956890930046,-0.0656521578432351,-0.238968949791144,-0.206189788044673,0.0447990083622529,-0.168968737402244,0.113682684327313,-0.235703795588287,-0.0628046249862571,-0.156019035112754,0.019627478381872,-0.10065371063007,-0.0548311721743837,-0.0791638044838473,-0.156948300144931,0.187140182535214,-0.074831083096507,-0.152030728259764,-0.156314855132108,-0.0218663208115953,-0.125028381465294,-0.184427577961589,-0.180029089589798,-0.124504693594924,-0.123501543548023,-0.282616193695368,-0.310490040523743,-0.13720024991185,-0.140354038248533,-0.176918362849203,-0.28507426110276,-0.208823869538721
L_insula_grayavg,-0.0617066214454178,-0.207916301504813,-0.262978022012728,-0.137882793051616,-0.144431571643653,-0.0482844943211768,-0.210896323289369,-0.166286816727925,-0.22105327435601,NaN,-0.327861589295829,-0.264434926846907,-0.280850524026955,-0.180185038953483,-0.297330918611978,-0.287198626116914,-0.289081990289595,-0.216116258921581,-0.351446216932325,-0.277069184938784,-0.354596306954374,-0.0356593752485196,-0.343832197196588,-0.129563045120219,-0.335823381426154,-0.202905193648874,-0.268376757227949,-0.271904164069075,-0.304933115213579,-0.25905974621848,-0.390839140516931,-0.359618319429322,-0.211075895395208,-0.398468673912403,-0.104830001873145,-0.44450639580114,-0.246943258659713,-0.160283913914533,-0.263957612342109,-0.197162627763501,-0.24083661747468,-0.20570563450746,-0.256736200215957,0.0126125964544733,-0.331170680366654,-0.281214323293607,-0.220833615012167,-0.203662396704733,-0.342991574961647,-0.342904525385487,-0.149627336289946,-0.172388805349359,-0.358615828575296,-0.283520220777706,-0.375512387541897,-0.132572529811156,-0.380852352340298,-0.312579389121777,-0.222879159111824,-0.242449005194903,-0.317114656948568,-0.270394644705958,-0.330607325416078,-0.199511238357572,-0.416744976655139,-0.35244543446864,-0.280010545997448,-0.336311924409885
