Row,L_bankssts_grayavg,L_caudalanteriorcingulate_grayavg,L_caudalmiddlefrontal_grayavg,L_cuneus_grayavg,L_entoRinal_grayavg,L_frontalpole_grayavg,L_fusiform_grayavg,L_inferiorparietal_grayavg,L_inferiortemporal_grayavg,L_insula_grayavg,L_isthmuscingulate_grayavg,L_lateraloccipital_grayavg,L_lateralorbitofrontal_grayavg,L_lingual_grayavg,L_medialorbitofrontal_grayavg,L_middletemporal_grayavg,L_paracentral_grayavg,L_parahippocampal_grayavg,L_parsopercularis_grayavg,L_parsorbitalis_grayavg,L_parstriangularis_grayavg,L_pericalcarine_grayavg,L_postcentral_grayavg,L_posteriorcingulate_grayavg,L_precentral_grayavg,L_precuneus_grayavg,L_rostralanteriorcingulate_grayavg,L_rostralmiddlefrontal_grayavg,L_superiorfrontal_grayavg,L_superiorparietal_grayavg,L_superiortemporal_grayavg,L_supramarginal_grayavg,L_temporalpole_grayavg,L_transversetemporal_grayavg,R_bankssts_grayavg,R_caudalanteriorcingulate_grayavg,R_caudalmiddlefrontal_grayavg,R_cuneus_grayavg,R_entoRinal_grayavg,R_frontalpole_grayavg,R_fusiform_grayavg,R_inferiorparietal_grayavg,R_inferiortemporal_grayavg,R_insula_grayavg,R_isthmuscingulate_grayavg,R_lateraloccipital_grayavg,R_lateralorbitofrontal_grayavg,R_lingual_grayavg,R_medialorbitofrontal_grayavg,R_middletemporal_grayavg,R_paracentral_grayavg,R_parahippocampal_grayavg,R_parsopercularis_grayavg,R_parsorbitalis_grayavg,R_parstriangularis_grayavg,R_pericalcarine_grayavg,R_postcentral_grayavg,R_posteriorcingulate_grayavg,R_precentral_grayavg,R_precuneus_grayavg,R_rostralanteriorcingulate_grayavg,R_rostralmiddlefrontal_grayavg,R_superiorfrontal_grayavg,R_superiorparietal_grayavg,R_superiortemporal_grayavg,R_supramarginal_grayavg,R_temporalpole_grayavg,R_transversetemporal_grayavg
L_bankssts_grayavg,NaN,-0.285526286081835,-0.166427487851014,0.0157307764269521,-0.162095551141945,-0.0217074236115943,-0.197013728566619,-0.184543319290975,-0.205407715065416,0.0486725329276094,-0.0911388934805707,-0.198969309765145,-0.223985292508739,0.0298906391565388,-0.193883545207421,-0.202635397991644,-0.09593682866777,-0.0725277006841328,-0.153839359829053,-0.208692988953338,-0.187460520797709,0.128990939157221,-0.0361315088742434,-0.0206607952474252,-0.229628071254414,-0.182494664713179,-0.211352657703496,-0.182403743396377,-0.194122895630172,-0.115441026796499,-0.305562947286045,-0.292566217365227,-0.160309629533218,-0.129984202107732,0.0451302910443861,-0.261756379126112,-0.200038663638561,0.00777381257523046,-0.213258183769585,-0.101041787111287,-0.291168683880221,-0.214681275578007,-0.202234332770209,0.112553479673615,-0.120075493510667,-0.190004657311751,-0.139589660678641,-0.0542529311000427,-0.227558984346444,-0.239688503698612,-0.081327619551812,-0.148489345477038,-0.019027500025984,-0.191928869406728,-0.190881693345242,0.11607988860835,-0.0441321683646386,-0.245788154612539,-0.228241233988181,-0.141087265193919,-0.118637465441417,-0.212967862060801,-0.23884658017593,-0.0307104569212279,-0.126240407322335,-0.227957946810878,-0.139519009234301,0.00718160560169949
L_caudalanteriorcingulate_grayavg,-0.285526286081835,NaN,-0.189572276185321,-0.00581589910606342,-0.182368764934454,0.125624863927788,-0.312742774844301,-0.151746897412626,-0.275177229487616,-0.204505484808962,-0.0878386371697909,-0.18214693835365,-0.233035012389782,-0.0763438574664344,-0.142487209153534,-0.192051109311744,-0.190413929635004,-0.24640322373306,-0.204370070988462,-0.137569138616737,-0.146545708657482,0.117818169553943,-0.0257554598680907,0.0862289439321272,-0.307782792462401,-0.274063181524317,-0.200320221686217,-0.161494996458329,-0.176354914457353,-0.0804426244314052,-0.323894483716864,-0.228156553417815,-0.129746384564167,-0.207212600389148,-0.265701634895232,-0.126918312210195,-0.263092791407556,-0.00208817252095419,-0.277430675289883,-0.036125231611485,-0.326129317924359,-0.150329033035744,-0.210769289572737,-0.115775065496387,-0.111480087911238,-0.16112878003935,-0.318136837197303,-0.115708826703361,-0.264235416464038,-0.179808357895889,0.0300799111833657,-0.168206613796655,-0.177842683096232,-0.122170222302298,-0.15931772392909,0.125187288433239,-0.0473381355144867,-0.134144016094825,-0.272208426255036,-0.10882276906236,-0.037297970343681,-0.191050291892983,-0.194466877191799,0.0560845067710894,-0.251353644383623,-0.102592264193785,-0.122989059204958,-0.0982574546890422
L_caudalmiddlefrontal_grayavg,-0.166427487851014,-0.189572276185321,NaN,0.118131532061176,-0.0228747936331463,0.126530166699953,-0.167754009188096,-0.151719124654107,-0.161843309182131,-0.095929403508489,0.0779172128853925,-0.0909884015394095,0.0396519252207455,0.175456495525731,-0.0936671487968408,-0.173431659109077,0.0817484759096105,0.063865448119243,-0.0434753054593907,-0.0521766448715664,-0.203397189909101,0.33111257181813,0.19174275424243,0.0406250461746384,0.13248319820458,0.0123853694346955,-0.156470867838116,-0.0350494153517222,0.0969917225243152,0.0794325521925238,-0.124905213346709,-0.0787364897439405,-0.0476835796693919,-0.0496793885457572,-0.0555256164229398,-0.250354176398513,-0.206828846786167,0.154108291706612,-0.137135870924875,-0.0296142671361421,-0.235144779517646,-0.051456358088212,-0.14814770059134,-0.0722405418732619,0.0287721546854648,-0.0754637500907693,0.0369333509287085,0.0795092179639679,-0.0710300304463636,-0.236533180645016,0.0280139743439312,0.102097120776491,0.016864634693389,-0.03324092110299,-0.0996084797145316,0.289657702258535,0.224617284181884,-0.158289015915609,0.129958447626753,-0.0819803758824213,-0.158173928123209,-0.0145552397400888,0.0525814524531142,0.0899913698249441,0.0107518210780327,-0.0263445395721151,-0.0590925860087396,0.0398365988832048
L_cuneus_grayavg,0.0157307764269521,-0.00581589910606342,0.118131532061176,NaN,0.0824425241964493,-0.000945636039605956,-0.0531247501819319,0.186768452547777,0.00233463554002183,-0.101781714190899,0.031997940219041,-0.0957216766534397,0.028823477584332,-0.0334515091570063,-0.0419090894628262,0.0486475630769468,0.0669030990861176,0.0479942944630537,0.162017607269929,0.159287117099319,0.121364340065553,0.0515812032416829,0.0216755976954717,0.0188164242836777,0.200062204699446,0.228274355801043,0.0186315535675136,0.127189712219364,0.158242595622127,0.0902953579733375,0.124808590494205,0.170375801341517,0.0640312726079975,0.0543096622626241,-0.0281537060385008,-0.00205134790343221,0.0886666279742051,-0.235014499063872,0.0311877339470691,-0.0527100898389542,-0.0722348670051455,0.118247139783005,0.0223045708856868,-0.0163148713932582,-0.0598760177778571,-0.120374699151253,0.013201067767182,-0.057037178675705,0.0176422556527834,0.0648801763167747,0.0530522079211627,0.0220211660416715,0.214755626825532,0.134471459565625,0.0746914021869544,-0.0185107071992645,0.076057787485766,0.00496632316398941,0.148300082346062,0.126266046889014,-0.00466338986123764,0.157607611070622,0.189717495236695,0.0553548949876112,0.0742964679524509,0.193130055387109,0.0342816481881183,-0.030710419523949
L_entoRinal_grayavg,-0.162095551141945,-0.182368764934454,-0.0228747936331463,0.0824425241964493,NaN,0.105034801990368,0.0771196360713487,0.0552834201968116,-0.0279257854980655,-0.162724529150539,-0.0465592055654663,0.0461499090670692,0.106364565471134,0.0913393429378386,0.0817653410297304,0.00923995592319245,0.00887916962499108,-0.110074173569522,-0.0178332492308622,0.00557581493583252,0.0417192721673014,0.115307968907045,0.01653861170966,-0.0288454628926891,-0.0501688202288765,-0.0204815216438548,-0.066393305661094,0.016183263362225,-0.0766036021964338,0.102110475179391,0.0374666509507112,0.0494605849786022,-0.00384464967914034,-0.0510891767899877,-0.058431061841269,-0.172602362123199,-0.0720618643881648,0.205495264081727,-0.0965433991148988,0.0690289439545959,0.0547814486812548,0.0412230245049908,0.10168170467322,-0.201730909583028,-0.063575978215918,0.0671854448650828,0.0703298516013495,0.0728041019527919,0.0622324162071154,0.0134625292918162,0.0680095479789739,-0.115885148052961,0.0489290331146012,0.0819260367127085,0.0859097263122259,0.0854340984292119,0.0305369298118226,-0.130277259918147,0.0470660850165647,0.0569783965768437,-0.177217939512592,0.013256030302138,0.00269611816177241,0.0881627409503494,-0.0290902637241394,0.0659444590137789,0.067724975791894,0.0173166578285589
L_frontalpole_grayavg,-0.0217074236115943,0.125624863927788,0.126530166699953,-0.000945636039605956,0.105034801990368,NaN,0.199373727936766,0.179324002926047,0.00161923126641142,0.0264289277395158,0.202688244906694,0.181860439326032,0.235521192302924,0.0878449260159447,0.185361635124591,0.0958815505931058,0.199301742888827,0.0443680385714441,0.094440741349412,0.119037644054238,0.10008171406779,0.215059978013082,0.026302810813702,0.152203333938417,0.221016348902389,0.187571196707254,0.195077228972073,0.221914720363217,0.210939440605724,0.199737712554684,0.274851047746258,0.194519790653096,0.0581193488050243,0.0190738898387446,0.0482866270610193,0.0758326969817251,0.0564453625216828,0.136831155172821,-0.0180741253283891,-0.0866983191404812,0.131542392240797,0.236414830888864,0.154808112587285,0.00789038672651091,0.152243192548203,0.1062079418356,0.167836951134745,0.172297095919854,0.315225217636969,0.113037465932614,0.316968292792909,0.147918138518493,0.140627904127466,0.117171311359252,0.105468104137105,0.207840970855817,0.083602058961643,0.100761339065005,0.188956950477933,0.299885943852939,-0.0201188935588085,0.227301780131418,0.181275587340799,0.147848989518444,0.140963176960643,0.154127111823766,-0.0212506452746655,-0.0337486998289753
L_fusiform_grayavg,-0.197013728566619,-0.312742774844301,-0.167754009188096,-0.0531247501819319,0.0771196360713487,0.199373727936766,NaN,-0.10062459787406,0.0218445746550115,-0.0920130713786257,0.00693912508465694,-0.130238385969874,-0.0548182071975532,0.0327996734424143,-0.107431747665489,-0.0102606190683578,-0.165711250449265,-0.111595428258578,-0.18119842451593,-0.0195504592851328,-0.202091522027432,0.0912685636147913,-0.0449808135086415,0.017361122281413,-0.187747279913289,-0.251843180660256,-0.121847224806272,-0.101282857393384,-0.108971678627252,-0.0648825733982292,-0.223706239330396,-0.179384408328555,-0.0576633981900792,-0.284109124694192,-0.189122133065778,-0.277854401738693,-0.211879819270792,0.0727495372671565,-0.0760809007412608,0.0233766295197976,-0.0355628335076844,-0.140891475087243,-0.0247336652089067,-0.103796403813583,0.011921774485161,-0.0908883376847247,0.104105130840235,-0.0897266234498631,-0.0444456769231403,-0.0312210237657853,-0.0263893343101141,0.0448079486413613,-0.0574901700248165,0.0559873738519507,-0.120635897860875,0.0597316018634797,-0.0578860171589003,-0.203140983604121,-0.139466860876066,-0.14723816225619,-0.136623983896315,-0.208332049411386,-0.00283400447467547,-0.0246605046504446,-0.0736085832666318,-0.106429737801746,-0.021465933976601,-0.17007971322441
L_inferiorparietal_grayavg,-0.184543319290975,-0.151746897412626,-0.151719124654107,0.186768452547777,0.0552834201968116,0.179324002926047,-0.10062459787406,NaN,-0.17984429185969,-0.0477726603593098,0.123196032141707,-0.0107415756272468,0.0598477616687675,0.260995443975633,0.0259545167661648,-0.184462030836183,0.00655535553523069,0.0706444401363046,0.00333450785279632,-0.0701014512738509,-0.127947251346326,0.298043747551007,0.134919871582828,0.0846032127723454,-0.122156351114516,-0.0984859317083202,-0.0670307234591181,0.0770719557777081,0.0578374130680861,-0.0461977838839141,-0.111103753941817,-0.00237405033284565,-0.0420051610027562,-0.157178791742992,-0.153931561655925,-0.114823884218506,-0.264126724633266,0.280184333240627,-0.0963426455439574,-0.0483849604041524,-0.122906836845616,-0.114902227770776,-0.0591120480021876,-0.000222179107428397,0.0725920215365737,-0.00246150830773536,0.0951307119525854,0.166927986796538,0.094797604724876,-0.137718490943978,-0.13013091900809,0.0722886031132169,0.0503792804046183,0.0541771015808707,-0.0385526163633097,0.307277941733243,0.170178312637519,-0.0962472052015254,-0.106503390413606,-0.0520202604075338,-0.119201919707598,0.00833629698889962,0.064819817487731,0.0995137945183764,-0.0360362745352738,-0.00799147617612807,-0.00696102228453698,0.00551890770671428
L_inferiortemporal_grayavg,-0.205407715065416,-0.275177229487616,-0.161843309182131,0.00233463554002183,-0.0279257854980655,0.00161923126641142,0.0218445746550115,-0.17984429185969,NaN,-0.19557891859826,-0.0394231118976661,-0.088763143882858,-0.0763102119380825,0.0989844572615159,-0.00220194149040347,-0.159486734311169,-0.146177604134047,0.00640889455225438,-0.14854167416066,-0.151249965655234,-0.235065806509089,0.154302572760382,-0.0446568002744227,-0.0651958788556967,-0.232846431674135,-0.164404515095652,-0.174318034753513,-0.0732573999328787,-0.246013499943705,-0.0440980652711115,-0.215229735711541,-0.192744727946641,-0.193652898929837,-0.194546176022343,-0.19944118275009,-0.35119639160594,-0.279123917852695,0.14150571723667,-0.20036354910924,-0.13903348888659,-0.016522913760849,-0.177865317934009,-0.0372256922860807,-0.171471845274576,-0.0326898645405607,-0.0206145523266445,0.0276789054008533,-0.0296941556004656,-0.114625224624365,-0.234165196605329,-0.0643626885742695,0.174092289325141,-0.109271070015381,-0.089283239650081,-0.121870054377482,0.143292766473765,0.00719677169361887,-0.186697823529027,-0.118859382963559,-0.0621900939787692,-0.186283110719347,-0.180668145788798,-0.205671358445555,0.0147435683249479,-0.233741959144248,-0.161581071541739,-0.15647529228106,-0.163213701090006
L_insula_grayavg,0.0486725329276094,-0.204505484808962,-0.095929403508489,-0.101781714190899,-0.162724529150539,0.0264289277395158,-0.0920130713786257,-0.0477726603593098,-0.19557891859826,NaN,-0.300475779617105,-0.297494557895828,-0.198948659070418,-0.155943298835674,-0.23944110895309,-0.15151768443745,-0.140388738594661,-0.24413030635856,-0.185244448391693,-0.141503526331476,-0.230147586225197,-0.0106820510011246,-0.152297708435391,-0.167986164413774,-0.203156768813676,-0.149926272190779,-0.252795387864054,-0.0780308396803695,-0.14383074763287,-0.0835211420823751,-0.257529186593139,-0.222617765812093,-0.18560615007952,-0.387704462318411,-0.0186908909344704,-0.384478151846121,-0.110115657011989,-0.0822607288999623,-0.216587065915673,-0.0665751280670341,-0.172756970525655,-0.0658660448886817,-0.198594235977885,-0.0923129785298323,-0.324494387047732,-0.198203292325443,-0.224483587426616,-0.224545599677294,-0.332610857328635,-0.191328894800052,-0.0484012702341853,-0.167652503979338,-0.235458678736068,-0.112728669835411,-0.175322511987715,-0.0805187295332929,-0.187632079666965,-0.295481203493011,-0.0748981335233045,-0.219040944456684,-0.244434090789822,-0.10479292925724,-0.155795974696223,-0.0261979534433932,-0.201493836736826,-0.183567075598783,-0.0684087003908651,-0.32340413757019
