Row,L_bankssts_grayavg,L_caudalanteriorcingulate_grayavg,L_caudalmiddlefrontal_grayavg,L_cuneus_grayavg,L_entoRinal_grayavg,L_frontalpole_grayavg,L_fusiform_grayavg,L_inferiorparietal_grayavg,L_inferiortemporal_grayavg,L_insula_grayavg,L_isthmuscingulate_grayavg,L_lateraloccipital_grayavg,L_lateralorbitofrontal_grayavg,L_lingual_grayavg,L_medialorbitofrontal_grayavg,L_middletemporal_grayavg,L_paracentral_grayavg,L_parahippocampal_grayavg,L_parsopercularis_grayavg,L_parsorbitalis_grayavg,L_parstriangularis_grayavg,L_pericalcarine_grayavg,L_postcentral_grayavg,L_posteriorcingulate_grayavg,L_precentral_grayavg,L_precuneus_grayavg,L_rostralanteriorcingulate_grayavg,L_rostralmiddlefrontal_grayavg,L_superiorfrontal_grayavg,L_superiorparietal_grayavg,L_superiortemporal_grayavg,L_supramarginal_grayavg,L_temporalpole_grayavg,L_transversetemporal_grayavg,R_bankssts_grayavg,R_caudalanteriorcingulate_grayavg,R_caudalmiddlefrontal_grayavg,R_cuneus_grayavg,R_entoRinal_grayavg,R_frontalpole_grayavg,R_fusiform_grayavg,R_inferiorparietal_grayavg,R_inferiortemporal_grayavg,R_insula_grayavg,R_isthmuscingulate_grayavg,R_lateraloccipital_grayavg,R_lateralorbitofrontal_grayavg,R_lingual_grayavg,R_medialorbitofrontal_grayavg,R_middletemporal_grayavg,R_paracentral_grayavg,R_parahippocampal_grayavg,R_parsopercularis_grayavg,R_parsorbitalis_grayavg,R_parstriangularis_grayavg,R_pericalcarine_grayavg,R_postcentral_grayavg,R_posteriorcingulate_grayavg,R_precentral_grayavg,R_precuneus_grayavg,R_rostralanteriorcingulate_grayavg,R_rostralmiddlefrontal_grayavg,R_superiorfrontal_grayavg,R_superiorparietal_grayavg,R_superiortemporal_grayavg,R_supramarginal_grayavg,R_temporalpole_grayavg,R_transversetemporal_grayavg
L_bankssts_grayavg,NaN,-0.31167808271355,-0.372182804472287,-0.123550594675468,-0.312577972733371,-0.0593571066512825,-0.208085941072825,-0.308274318493476,-0.225978206003447,-0.0292297047559863,-0.10765190163567,-0.272276399733587,-0.19831616415333,-0.0625739953753416,-0.163025315887664,-0.235705425682102,-0.24708438401319,-0.273885739350579,-0.269247560455967,-0.276682231673622,-0.303152229762979,0.0460091671636662,-0.138001863744374,-0.0713301796838751,-0.332599077746981,-0.281901544231676,-0.24578475747655,-0.33335538374831,-0.286830807305805,-0.229947795116078,-0.384449055063529,-0.404165568135921,-0.128746641231919,-0.249005973748192,-0.0311955115228143,-0.270975971441362,-0.3400431061295,-0.0871718965574605,-0.351476648843897,-0.139525258387011,-0.283135100700555,-0.317654793466718,-0.210632575906225,0.00479579762485257,-0.162032588009075,-0.281017474854865,-0.156445918590857,-0.119205601825032,-0.242457958063595,-0.3103210147591,-0.228095649239648,-0.409023688534675,-0.141704684045123,-0.23515974659638,-0.29992282040348,0.0571242869538966,-0.166963064106995,-0.205205441553818,-0.336799144576059,-0.284889754277554,-0.138686700335897,-0.317479017759416,-0.29129970853488,-0.195477226026255,-0.210801722151351,-0.360907415362594,-0.204468099962483,-0.175160045279765
L_caudalanteriorcingulate_grayavg,-0.31167808271355,NaN,-0.34663422524409,-0.0092337197505871,-0.292013418218319,0.119834010238482,-0.335725541890091,-0.296141285540654,-0.285878785699138,-0.14612334607386,-0.0486072356134011,-0.13942852177745,-0.196407291236881,-0.0466658526218564,-0.095990832308914,-0.236778365239979,-0.308628133657768,-0.32588094803209,-0.297695461696701,-0.246070235770258,-0.258739838643537,0.0799416879137332,-0.045965516824212,0.108143867649296,-0.363340193555531,-0.358187274006482,-0.102723529231986,-0.284575295009091,-0.277992222661743,-0.1158476916769,-0.329344026653332,-0.33277657108335,-0.0590359258374388,-0.269963711164857,-0.322004657769408,0.030729792209127,-0.244385166991127,-0.039846778924383,-0.357860336061106,0.00199871124839017,-0.352620728571226,-0.283877190516045,-0.19331730667715,-0.102688406567599,-0.0761409666762224,-0.164185657213742,-0.161815029312068,-0.00795160240695208,-0.27207005175679,-0.252528347707661,-0.162465841996254,-0.273147507404757,-0.213527397756668,-0.136748197478159,-0.316991224801254,0.106228059629177,-0.0607562471063792,-0.122264711154825,-0.317095484655103,-0.196468819548361,0.0112880946220887,-0.329589403021289,-0.272660195061284,-0.021126894480791,-0.304611411584029,-0.241422785776113,-0.114666304832195,-0.193459330632351
L_caudalmiddlefrontal_grayavg,-0.372182804472287,-0.34663422524409,NaN,0.00672731111834387,-0.227968285271087,0.203615778820455,-0.325414278729768,-0.0727318851119813,-0.307055666038842,-0.189416940696087,0.0118036609798573,-0.126340039980005,-0.051151114588904,0.0598311925849944,-0.0681796848099711,-0.276221662661979,0.0430649432582452,-0.134164971484027,-0.102689784321012,-0.079959831162608,-0.200855385783766,0.248563400701823,0.194458748501424,-0.0400894845990726,0.094203362801,-0.0516922373640745,-0.306658282898579,-0.136508303172279,0.0690994028621918,0.105792591803513,-0.159121967224978,-0.0632045192631121,-0.0596232786188483,-0.0519346479654337,-0.123888501485736,-0.283109508652709,-0.0814324014856336,0.0707219040870145,-0.351456895897082,0.143556076531,-0.331330116240785,-0.0230661066052584,-0.286880223235308,-0.14062844590502,-0.0662070127590375,-0.0884555752431546,-0.107739178361958,0.0201885197501984,-0.146606812955067,-0.269442898223169,0.0270088087539901,-0.171595708707068,0.0887691349345901,0.00875762008603649,-0.0897262317977274,0.246288048059117,0.19598792263072,-0.24772872329111,0.0401924288907927,-0.00277813881832489,-0.255389556580797,-0.0574429619299832,-0.0573965750645819,0.0685613547501023,-0.0488689647179161,-0.0271591809513708,-0.152295811794444,-0.130690665700719
L_cuneus_grayavg,-0.123550594675468,-0.0092337197505871,0.00672731111834387,NaN,-0.0365937419563228,-0.0275886087794556,-0.189309212695012,0.0690849278923347,-0.125205229837616,-0.21088233829478,-0.046837798855217,-0.107552229847148,-0.0612128869400786,0.0186787366315226,-0.013570313112033,-0.127521752245821,-0.122668277915018,-0.0429769653752573,0.10798069680197,0.079995329615161,0.049849551988615,0.021856875871687,-0.129753268462381,-0.098353414480854,0.0617116517335916,0.17137406464479,-0.113675377009817,0.0384187902858199,0.0805616706259722,-0.100596584903412,0.039681414573818,0.0565576207821482,-0.0138188332541425,0.0453380908228387,-0.0881579506001486,0.0253234388211727,0.0175213461447673,-0.211954251995478,-0.14604601443185,-0.0884916879214612,-0.206767159430803,0.0280035288764824,-0.0668493136904985,-0.073226053706558,-0.164665859180601,-0.152065911741015,-0.0225333387131832,-0.136508079341212,-0.0791369409255115,0.0269821639238209,-0.0860226170721569,-0.0763784107678415,0.104157341706531,0.143651929602495,0.103624093352392,0.0238979613607202,-0.0352888461276323,-0.0856152015611507,0.0381966046536818,0.0770740893435207,-0.0910015416071291,0.0927195721684846,0.0749913725268562,-0.0714979285550173,-0.0154030249805087,0.135540022717845,-0.0648232249968179,-0.154670164708595
L_entoRinal_grayavg,-0.312577972733371,-0.292013418218319,-0.227968285271087,-0.0365937419563228,NaN,0.0161621592417677,-0.0834464320036069,-0.150760772029199,-0.0998916062583469,-0.213320006246175,-0.0813169789555771,-0.108830328210627,-0.0807027444958007,-0.0850690468202624,-0.13055781672842,-0.17783837927428,-0.189475864323006,-0.171454458844566,-0.236773031921988,-0.138937831177707,-0.162474112546529,-0.0784017380848597,-0.10969412368726,-0.20421805066423,-0.215034349754751,-0.22006127756748,-0.214642377267239,-0.193863140215565,-0.341052838963512,-0.104091798323662,-0.139933918799461,-0.16780240897261,0.0632759452799572,-0.261407130528855,-0.210395888060796,-0.310767104124456,-0.255308691694296,0.0311666100990982,0.0203560487052821,0.0361763412585209,-0.0662310288847684,-0.174555598612538,-0.0521635352679049,-0.197334473741186,-0.10115588359708,-0.143500342074218,-0.131917671769528,-0.078127768649117,-0.0778934201323331,-0.175894770184117,-0.107286927574003,-0.103451626099425,-0.15771479640244,-0.125006844965373,-0.164600234827803,-0.0634388547154307,-0.135858295636496,-0.272754603211574,-0.20949958485926,-0.147839851062654,-0.254179346701965,-0.225341537866333,-0.244186148096827,-0.112107582048224,-0.20694421093838,-0.152646350649319,0.0797026422538888,-0.165917935225948
L_frontalpole_grayavg,-0.0593571066512825,0.119834010238482,0.203615778820455,-0.0275886087794556,0.0161621592417677,NaN,0.072936684024601,0.155157906867018,-0.0197058184606549,-0.0387528235937212,0.248224792116184,0.088570086181052,0.111471795386978,0.110088775265558,0.214269682078443,0.0649801357795812,0.156206640550726,-0.00610459887062596,0.111369461681146,0.135989485877333,0.119852423262876,0.15310708693377,0.104922490117837,0.105761006389496,0.190500076976631,0.208411466624808,0.117843651195456,0.182823562408503,0.179387351038842,0.103002615958027,0.215992576872697,0.180907583518975,-0.0108743721088628,0.00766203003693226,0.0539999494987607,0.0639949450443429,0.0911894752016461,0.0278860822950945,-0.164465676129005,-0.0182107038334093,0.0477554870768515,0.212784924622439,0.0728123531879821,-0.00911767236407936,0.176681827320904,0.101835149071584,0.0690892289387414,0.155775308523956,0.332779769632631,0.0735458382835757,0.249869696777561,0.152199718644903,0.137977063202764,0.20038190051324,0.0975420198238046,0.173240903283374,0.0739751392444018,0.0976600018430988,0.121449204391258,0.336176500999125,-0.0145991958248881,0.19531974637623,0.182822102708478,0.0915329162533105,0.124196685544161,0.200494178390947,-0.114021131836756,-0.0752562855005165
L_fusiform_grayavg,-0.208085941072825,-0.335725541890091,-0.325414278729768,-0.189309212695012,-0.0834464320036069,0.072936684024601,NaN,-0.271820136808108,0.0170755178071306,-0.0685543274879978,0.0465119290696345,-0.173698762446612,0.0724009071039602,-0.0505324047478949,-0.120074154778777,-0.0491014515814519,-0.286105945174865,-0.225578160560807,-0.27551759962389,-0.141996963634154,-0.309089920899631,-0.00505110541739305,-0.122438692876249,-0.0513373972640545,-0.305525891739499,-0.377529819655067,-0.123195315660212,-0.25276701187422,-0.244043863035017,-0.190546782012814,-0.216295588243941,-0.323727882587334,0.0150299855315602,-0.356337121881249,-0.197763067439408,-0.228024442647724,-0.232996943101643,-0.0570343858251845,-0.251522205139878,-0.0116724411516431,-0.0712980204082258,-0.295016428587681,0.00452469156957357,-0.0835181544512599,-0.0236979840045363,-0.199874549337954,0.215849165112942,-0.0773753926267835,-0.0533005460838406,-0.0579416245680007,-0.120369626142061,-0.123804557325081,-0.0477213993564784,-0.0475443050714483,-0.226011954069252,-0.00461613939058529,-0.115665491672198,-0.203282930814291,-0.25703370538343,-0.24704180994859,-0.0771293426482501,-0.345972220409983,-0.0956029417951867,-0.161992823676243,-0.0686459341564386,-0.265424026474281,-0.0955597769734647,-0.263968530443649
L_inferiorparietal_grayavg,-0.308274318493476,-0.296141285540654,-0.0727318851119813,0.0690849278923347,-0.150760772029199,0.155157906867018,-0.271820136808108,NaN,-0.295613507949624,-0.147909887340744,0.0871545254298072,-0.0350972479388267,0.0499188635657553,0.149067475576378,0.0640492310406569,-0.272766705035233,-0.00178808880907214,-0.0726246042050468,0.0559979535168121,-0.159692360362976,-0.109943173105736,0.173316197870616,0.184726391496497,-0.0254613845178554,-0.00596618829132793,-0.156119883181002,-0.199551030427961,-0.0801214232555508,0.0405987424637167,-0.057097662414722,-0.0730614496516119,0.0406455056527394,-0.0255649526813005,-0.130460699270658,-0.123544214330473,-0.162813836274395,-0.0851404341435079,0.159359753682292,-0.30230399324281,0.0217057099310364,-0.244337408868699,-0.0635863967810132,-0.150203577993875,-0.0533531765113284,-0.0314174931897774,-0.0273666409013315,-0.0135263440246956,0.129304617729932,0.00955534452826176,-0.117253073830806,-0.150675173184911,-0.155160383891998,0.150918079025261,0.138344750380887,-0.0283264870412342,0.240698701572901,0.160115888147975,-0.198451117106489,-0.02985295349447,0.00370439918958835,-0.217400306705576,-0.0662466808234517,-0.00234383806400716,-0.0191940151169989,-0.0276690138702516,0.0408354184393896,-0.126245993345885,-0.154282672241559
L_inferiortemporal_grayavg,-0.225978206003447,-0.285878785699138,-0.307055666038842,-0.125205229837616,-0.0998916062583469,-0.0197058184606549,0.0170755178071306,-0.295613507949624,NaN,-0.174410630159589,-0.032422550357633,-0.206269784486735,-0.0109469907061333,-0.0760273059796491,-0.0185016731280154,-0.119847846971124,-0.285677030339147,-0.139286718588125,-0.163664768530703,-0.193794908029495,-0.284378426083355,-0.0275857383126653,-0.1552944652984,-0.183235865729665,-0.333962815069908,-0.284685894569426,-0.16542875617142,-0.250275744422629,-0.343844462439006,-0.201821171301457,-0.137184276136246,-0.339603307830869,-0.0488945201103671,-0.302977351997761,-0.190713152182672,-0.362987530356562,-0.296356915967164,-0.0187980841326718,-0.321691821767081,-0.0665631828431542,-0.0346026983593702,-0.327204310497721,0.00461538488788829,-0.125384910918282,-0.079857603602284,-0.186547789780479,-0.00805046023676251,-0.126592129795283,-0.12666261406629,-0.115334972920283,-0.171268737764009,0.073399191670359,-0.0450594574862059,-0.117689177137033,-0.149360727258866,-0.00178203354165645,-0.117309683647484,-0.341122427849124,-0.259768204307029,-0.155306725549061,-0.190381776734493,-0.334440939097289,-0.320726700396903,-0.164360016702993,-0.186643030833946,-0.316140519175302,-0.174502980856467,-0.29432807466705
L_insula_grayavg,-0.0292297047559863,-0.14612334607386,-0.189416940696087,-0.21088233829478,-0.213320006246175,-0.0387528235937212,-0.0685543274879978,-0.147909887340744,-0.174410630159589,NaN,-0.2781068643939,-0.304969440276022,-0.192834115035765,-0.194944858003805,-0.256709018685334,-0.209344483324632,-0.184799921293424,-0.285231282057671,-0.261114096187176,-0.247199023804438,-0.292387374115077,-0.0638611133460796,-0.220541143298714,-0.120078561088773,-0.228838408894795,-0.216878448021285,-0.265086768223897,-0.249369533943731,-0.280827369383362,-0.147345794821028,-0.323321550425967,-0.297711510705342,-0.199599426494122,-0.39909351283046,-0.0600148662017177,-0.441277352388441,-0.175655808393442,-0.155920188127217,-0.291908527642856,-0.0814709600869654,-0.175042600295037,-0.209262844770618,-0.200632870246999,-0.0855502180500842,-0.32544829534417,-0.267251004293258,-0.260798011356427,-0.150351337908411,-0.34698859668484,-0.307345032075352,-0.0523890178129802,-0.200463065284726,-0.316447444973496,-0.247270983731463,-0.271260182497009,-0.105430891724313,-0.200029404464769,-0.234907994484048,-0.178809344943404,-0.258793258623222,-0.261312459458998,-0.201557229623885,-0.273500161806843,-0.140289319134547,-0.358327901163584,-0.285909089913271,-0.220532244480543,-0.303150064111159
